Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	Isolation_Source	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	source_material_ID	SRA Study	id	type	type2
SRR10397285	AMPLICON	290	30678110	PRJNA580257	SAMN13207788	Metagenome or environmental	10502316	TEXAS A&M UNIVERSITY	3/23/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097632	USA	North America	USA: Montana	Equus caballus	Illumina MiSeq	feces	46.921925 N 110.454353 W	Horse.4.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.4.Normals	Horse.4.Normals	SRP228480	4	Normals	
SRR10397286	AMPLICON	290	33848766	PRJNA580257	SAMN13207787	Metagenome or environmental	11573727	TEXAS A&M UNIVERSITY	5/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097631	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.39.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.39.Normals	Horse.39.Normals	SRP228480	39	Normals	
SRR10397287	AMPLICON	290	41713746	PRJNA580257	SAMN13207786	Metagenome or environmental	14221165	TEXAS A&M UNIVERSITY	3/12/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097630	USA	North America	USA: Florida	Equus caballus	Illumina MiSeq	feces	27.766279 N 81.686783 W	Horse.38.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.38.Normals	Horse.38.Normals	SRP228480	38	Normals	
SRR10397288	AMPLICON	290	47525473	PRJNA580257	SAMN13207785	Metagenome or environmental	16189054	TEXAS A&M UNIVERSITY	4/3/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097629	USA	North America	USA: Georgia	Equus caballus	Illumina MiSeq	feces	33.040619 N 83.643074 W	Horse.37.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.37.Normals	Horse.37.Normals	SRP228480	37	Normals	
SRR10397289	AMPLICON	290	28242308	PRJNA580257	SAMN13207784	Metagenome or environmental	9644271	TEXAS A&M UNIVERSITY	4/3/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097628	USA	North America	USA: Georgia	Equus caballus	Illumina MiSeq	feces	33.040619 N 83.643074 W	Horse.36.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.36.Normals	Horse.36.Normals	SRP228480	36	Normals	
SRR10397290	AMPLICON	289	23894301	PRJNA580257	SAMN13207783	Metagenome or environmental	8173240	TEXAS A&M UNIVERSITY	3/26/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097627	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.35.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.35.Normals	Horse.35.Normals	SRP228480	35	Normals	
SRR10397291	AMPLICON	290	29155824	PRJNA580257	SAMN13207782	Metagenome or environmental	10005013	TEXAS A&M UNIVERSITY	8/7/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097626	USA	North America	USA: Missouri	Equus caballus	Illumina MiSeq	feces	38.456085 N 92.288368 W	Horse.34.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.34.Normals	Horse.34.Normals	SRP228480	34	Normals	
SRR10397292	AMPLICON	290	29318768	PRJNA580257	SAMN13207781	Metagenome or environmental	10060203	TEXAS A&M UNIVERSITY	4/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097625	USA	North America	USA: California	Equus caballus	Illumina MiSeq	feces	36.116203 N 119.681564 W	Horse.33.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.33.Normals	Horse.33.Normals	SRP228480	33	Normals	
SRR10397293	AMPLICON	290	46278135	PRJNA580257	SAMN13207780	Metagenome or environmental	15789603	TEXAS A&M UNIVERSITY	5/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097624	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.32.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.32.Normals	Horse.32.Normals	SRP228480	32	Normals	
SRR10397294	AMPLICON	290	38475095	PRJNA580257	SAMN13207779	Metagenome or environmental	13177642	TEXAS A&M UNIVERSITY	8/7/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097623	USA	North America	USA: Missouri	Equus caballus	Illumina MiSeq	feces	38.456085 N 92.288368 W	Horse.31.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.31.Normals	Horse.31.Normals	SRP228480	31	Normals	
SRR10397295	AMPLICON	289	36307556	PRJNA580257	SAMN13207734	Metagenome or environmental	12492997	TEXAS A&M UNIVERSITY	5/15/17	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097622	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.105.Colitis.AAD	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.105.Colitis.AAD	Horse.105.Colitis.AAD	SRP228480	105	Colitis	AAD
SRR10397296	AMPLICON	289	42984658	PRJNA580257	SAMN13207778	Metagenome or environmental	14762788	TEXAS A&M UNIVERSITY	2/13/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097621	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.30.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.30.Normals	Horse.30.Normals	SRP228480	30	Normals	
SRR10397297	AMPLICON	289	34972056	PRJNA580257	SAMN13207777	Metagenome or environmental	11940051	TEXAS A&M UNIVERSITY	5/9/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097620	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.3.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.3.Normals	Horse.3.Normals	SRP228480	3	Normals	
SRR10397298	AMPLICON	290	33383481	PRJNA580257	SAMN13207776	Metagenome or environmental	11374632	TEXAS A&M UNIVERSITY	4/15/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097619	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.29.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.29.Normals	Horse.29.Normals	SRP228480	29	Normals	
SRR10397299	AMPLICON	290	37862953	PRJNA580257	SAMN13207775	Metagenome or environmental	12914141	TEXAS A&M UNIVERSITY	5/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097618	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.28.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.28.Normals	Horse.28.Normals	SRP228480	28	Normals	
SRR10397300	AMPLICON	289	25829643	PRJNA580257	SAMN13207774	Metagenome or environmental	8855049	TEXAS A&M UNIVERSITY	4/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097617	USA	North America	USA: California	Equus caballus	Illumina MiSeq	feces	36.116203 N 119.681564 W	Horse.27.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.27.Normals	Horse.27.Normals	SRP228480	27	Normals	
SRR10397301	AMPLICON	289	27151551	PRJNA580257	SAMN13207773	Metagenome or environmental	9298803	TEXAS A&M UNIVERSITY	6/20/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097616	USA	North America	USA: Nevada	Equus caballus	Illumina MiSeq	feces	38.313515 N 117.055374 W	Horse.26.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.26.Normals	Horse.26.Normals	SRP228480	26	Normals	
SRR10397302	AMPLICON	289	46370026	PRJNA580257	SAMN13207772	Metagenome or environmental	15725292	TEXAS A&M UNIVERSITY	6/23/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097615	USA	North America	USA: Kansas	Equus caballus	Illumina MiSeq	feces	38.526600 N 96.726486 W	Horse.25.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.25.Normals	Horse.25.Normals	SRP228480	25	Normals	
SRR10397303	AMPLICON	290	36476138	PRJNA580257	SAMN13207771	Metagenome or environmental	12476271	TEXAS A&M UNIVERSITY	5/11/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097614	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.24.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.24.Normals	Horse.24.Normals	SRP228480	24	Normals	
SRR10397304	AMPLICON	290	41175358	PRJNA580257	SAMN13207770	Metagenome or environmental	14117206	TEXAS A&M UNIVERSITY	2/13/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097613	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.23.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.23.Normals	Horse.23.Normals	SRP228480	23	Normals	
SRR10397305	AMPLICON	290	54273719	PRJNA580257	SAMN13207769	Metagenome or environmental	18413337	TEXAS A&M UNIVERSITY	8/7/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097612	USA	North America	USA: Missouri	Equus caballus	Illumina MiSeq	feces	38.456085 N 92.288368 W	Horse.22.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.22.Normals	Horse.22.Normals	SRP228480	22	Normals	
SRR10397306	AMPLICON	290	37110767	PRJNA580257	SAMN13207733	Metagenome or environmental	12736110	TEXAS A&M UNIVERSITY	1/31/17	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097611	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.104.Colitis.AAD	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.104.Colitis.AAD	Horse.104.Colitis.AAD	SRP228480	104	Colitis	AAD
SRR10397307	AMPLICON	290	45469100	PRJNA580257	SAMN13207768	Metagenome or environmental	15440033	TEXAS A&M UNIVERSITY	6/18/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097610	USA	North America	USA: Kansas	Equus caballus	Illumina MiSeq	feces	38.526600 N 96.726486 W	Horse.21.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.21.Normals	Horse.21.Normals	SRP228480	21	Normals	
SRR10397308	AMPLICON	289	30597634	PRJNA580257	SAMN13207767	Metagenome or environmental	10465598	TEXAS A&M UNIVERSITY	4/10/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097609	USA	North America	USA: Washington	Equus caballus	Illumina MiSeq	feces	47.400902 N 121.490494 W	Horse.20.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.20.Normals	Horse.20.Normals	SRP228480	20	Normals	
SRR10397309	AMPLICON	289	41050058	PRJNA580257	SAMN13207766	Metagenome or environmental	14044091	TEXAS A&M UNIVERSITY	3/20/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097608	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.2.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.2.Normals	Horse.2.Normals	SRP228480	2	Normals	
SRR10397310	AMPLICON	290	31205066	PRJNA580257	SAMN13207765	Metagenome or environmental	10697147	TEXAS A&M UNIVERSITY	3/23/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097607	USA	North America	USA: Montana	Equus caballus	Illumina MiSeq	feces	46.921925 N 110.454353 W	Horse.19.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.19.Normals	Horse.19.Normals	SRP228480	19	Normals	
SRR10397311	AMPLICON	289	32844660	PRJNA580257	SAMN13207828	Metagenome or environmental	11202161	TEXAS A&M UNIVERSITY	12/10/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097606	USA	North America	USA: Florida	Equus caballus	Illumina MiSeq	feces	27.766279 N 81.686783 W	Horse.76.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.76.Normals	Horse.76.Normals	SRP228480	76	Normals	
SRR10397312	AMPLICON	289	28468067	PRJNA580257	SAMN13207827	Metagenome or environmental	9698658	TEXAS A&M UNIVERSITY	12/10/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097605	USA	North America	USA: Florida	Equus caballus	Illumina MiSeq	feces	27.766279 N 81.686783 W	Horse.75.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.75.Normals	Horse.75.Normals	SRP228480	75	Normals	
SRR10397313	AMPLICON	289	35454946	PRJNA580257	SAMN13207826	Metagenome or environmental	12062280	TEXAS A&M UNIVERSITY	11/17/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097604	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.74.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.74.Normals	Horse.74.Normals	SRP228480	74	Normals	
SRR10397314	AMPLICON	289	28775992	PRJNA580257	SAMN13207825	Metagenome or environmental	9847399	TEXAS A&M UNIVERSITY	11/17/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097603	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.73.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.73.Normals	Horse.73.Normals	SRP228480	73	Normals	
SRR10397315	AMPLICON	289	36115069	PRJNA580257	SAMN13207824	Metagenome or environmental	12331693	TEXAS A&M UNIVERSITY	12/10/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097602	USA	North America	USA: Florida	Equus caballus	Illumina MiSeq	feces	27.766279 N 81.686783 W	Horse.72.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.72.Normals	Horse.72.Normals	SRP228480	72	Normals	
SRR10397316	AMPLICON	289	32713638	PRJNA580257	SAMN13207823	Metagenome or environmental	11183862	TEXAS A&M UNIVERSITY	11/17/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097601	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.71.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.71.Normals	Horse.71.Normals	SRP228480	71	Normals	
SRR10397317	AMPLICON	289	34576015	PRJNA580257	SAMN13207822	Metagenome or environmental	11803908	TEXAS A&M UNIVERSITY	11/17/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097600	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.70.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.70.Normals	Horse.70.Normals	SRP228480	70	Normals	
SRR10397318	AMPLICON	290	42956746	PRJNA580257	SAMN13207821	Metagenome or environmental	14669809	TEXAS A&M UNIVERSITY	6/26/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097599	USA	North America	USA: Kansas	Equus caballus	Illumina MiSeq	feces	38.526600 N 96.726486 W	Horse.7.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.7.Normals	Horse.7.Normals	SRP228480	7	Normals	
SRR10397319	AMPLICON	289	36821649	PRJNA580257	SAMN13207820	Metagenome or environmental	12576834	TEXAS A&M UNIVERSITY	11/17/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097598	USA	North America	USA: Kentucky	Equus caballus	Illumina MiSeq	feces	37.668140 N 84.670067 W	Horse.69.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.69.Normals	Horse.69.Normals	SRP228480	69	Normals	
SRR10397320	AMPLICON	289	40094268	PRJNA580257	SAMN13207819	Metagenome or environmental	13654331	TEXAS A&M UNIVERSITY	12/12/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097597	USA	North America	USA: New York	Equus caballus	Illumina MiSeq	feces	42.165726 N 74.948051 W	Horse.68.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.68.Normals	Horse.68.Normals	SRP228480	68	Normals	
SRR10397321	AMPLICON	289	43910114	PRJNA580257	SAMN13207738	Metagenome or environmental	15084890	TEXAS A&M UNIVERSITY	12/17/17	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097596	USA	North America	USA: Texas	Equus caballus	Illumina MiSeq	feces	31.054487 N 97.563461 W	Horse.109.Colitis.AAD	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.109.Colitis.AAD	Horse.109.Colitis.AAD	SRP228480	109	Colitis	AAD
SRR10397322	AMPLICON	289	27196885	PRJNA580257	SAMN13207818	Metagenome or environmental	9320670	TEXAS A&M UNIVERSITY	12/12/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097595	USA	North America	USA: New York	Equus caballus	Illumina MiSeq	feces	42.165726 N 74.948051 W	Horse.67.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.67.Normals	Horse.67.Normals	SRP228480	67	Normals	
SRR10397323	AMPLICON	289	38667019	PRJNA580257	SAMN13207817	Metagenome or environmental	13166484	TEXAS A&M UNIVERSITY	12/12/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097594	USA	North America	USA: New York	Equus caballus	Illumina MiSeq	feces	42.165726 N 74.948051 W	Horse.66.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.66.Normals	Horse.66.Normals	SRP228480	66	Normals	
SRR10397324	AMPLICON	289	26710685	PRJNA580257	SAMN13207816	Metagenome or environmental	9110036	TEXAS A&M UNIVERSITY	12/12/18	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX7097593	USA	North America	USA: New York	Equus caballus	Illumina MiSeq	feces	42.165726 N 74.948051 W	Horse.65.Normals	SINGLE	PCR	METAGENOMIC	gut metagenome	ILLUMINA	2019-11-20T00:00:00Z	Horse.65.Normals	Horse.65.Normals	SRP228480	65	Normals	
