Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	participant_id	Platform	ReleaseDate	Sample Name	SRA Study	variable_region
SRR13985753	AMPLICON	498	11766167	PRJNA715083	SAMN18326368	Metagenome or environmental	6844143	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	s3	ncbi"	"gs.US	s3.us-east-1	ncbi.public"	SRX10363317	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0139_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	139	ILLUMINA	2021-05-01T00:00:00Z	0139_V1V2	SRP311006	V1V2
SRR13985757	AMPLICON	498	17162201	PRJNA715083	SAMN18326364	Metagenome or environmental	9901835	CYKINSO INC	8/15/16	public	"sra	fastq"	"ncbi	gs	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX10363313	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0135_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	135	ILLUMINA	2021-05-01T00:00:00Z	0135_V1V2	SRP311006	V1V2
SRR13985763	AMPLICON	499	15689474	PRJNA715083	SAMN18326359	Metagenome or environmental	8736395	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363307	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0130_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	130	ILLUMINA	2021-05-01T00:00:00Z	0130_V1V2	SRP311006	V1V2
SRR13985765	AMPLICON	498	16692703	PRJNA715083	SAMN18326357	Metagenome or environmental	9523528	CYKINSO INC	8/12/16	public	"fastq	sra"	"ncbi	gs	s3"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363305	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0128_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	128	ILLUMINA	2021-05-01T00:00:00Z	0128_V1V2	SRP311006	V1V2
SRR13985771	AMPLICON	499	16281175	PRJNA715083	SAMN18326351	Metagenome or environmental	9602173	CYKINSO INC	9/10/15	public	"fastq	sra"	"ncbi	gs	s3"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363299	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0122_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	122	ILLUMINA	2021-05-01T00:00:00Z	0122_V1V2	SRP311006	V1V2
SRR13985772	AMPLICON	499	18125286	PRJNA715083	SAMN18326350	Metagenome or environmental	10369040	CYKINSO INC	9/9/15	public	"sra	fastq"	"ncbi	s3	gs"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363298	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0121_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	121	ILLUMINA	2021-05-01T00:00:00Z	0121_V1V2	SRP311006	V1V2
SRR13985782	AMPLICON	499	17921876	PRJNA715083	SAMN18326341	Metagenome or environmental	10241622	CYKINSO INC	8/15/16	public	"fastq	sra"	"ncbi	s3	gs"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363288	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0112_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	112	ILLUMINA	2021-05-01T00:00:00Z	0112_V1V2	SRP311006	V1V2
SRR13985785	AMPLICON	499	18067701	PRJNA715083	SAMN18326339	Metagenome or environmental	10329138	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	s3	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363285	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0110_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	110	ILLUMINA	2021-05-01T00:00:00Z	0110_V1V2	SRP311006	V1V2
SRR13985787	AMPLICON	499	17303211	PRJNA715083	SAMN18326337	Metagenome or environmental	9840755	CYKINSO INC	8/5/16	public	"fastq	sra"	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX10363283	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0108_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	108	ILLUMINA	2021-05-01T00:00:00Z	0108_V1V2	SRP311006	V1V2
SRR13985799	AMPLICON	499	17293526	PRJNA715083	SAMN18326324	Metagenome or environmental	9890740	CYKINSO INC	8/15/16	public	"fastq	sra"	"gs	s3	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363272	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0095_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	95	ILLUMINA	2021-05-01T00:00:00Z	0095_V1V2	SRP311006	V1V2
SRR13985801	AMPLICON	499	17039179	PRJNA715083	SAMN18326322	Metagenome or environmental	9753372	CYKINSO INC	8/12/16	public	"sra	fastq"	"s3	gs	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363270	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0093_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	93	ILLUMINA	2021-05-01T00:00:00Z	0093_V1V2	SRP311006	V1V2
SRR13985803	AMPLICON	499	16595737	PRJNA715083	SAMN18326320	Metagenome or environmental	9331362	CYKINSO INC	8/12/16	public	"fastq	sra"	"s3	gs	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363268	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0091_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	91	ILLUMINA	2021-05-01T00:00:00Z	0091_V1V2	SRP311006	V1V2
SRR13985805	AMPLICON	499	16203723	PRJNA715083	SAMN18326319	Metagenome or environmental	9118760	CYKINSO INC	8/8/16	public	"sra	fastq"	"gs	s3	ncbi"	"gs.US	s3.us-east-1	ncbi.public"	SRX10363266	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0090_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	90	ILLUMINA	2021-05-01T00:00:00Z	0090_V1V2	SRP311006	V1V2
SRR13985807	AMPLICON	499	17417674	PRJNA715083	SAMN18326317	Metagenome or environmental	9994884	CYKINSO INC	8/5/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	s3.us-east-1	ncbi.public"	SRX10363264	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0088_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	88	ILLUMINA	2021-05-01T00:00:00Z	0088_V1V2	SRP311006	V1V2
SRR13985808	AMPLICON	498	10384574	PRJNA715083	SAMN18326316	Metagenome or environmental	6030848	CYKINSO INC	9/7/15	public	"fastq	sra"	"ncbi	s3	gs"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363263	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0087_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	87	ILLUMINA	2021-05-01T00:00:00Z	0087_V1V2	SRP311006	V1V2
SRR13985809	AMPLICON	499	14404252	PRJNA715083	SAMN18326315	Metagenome or environmental	8207981	CYKINSO INC	8/15/16	public	"sra	fastq"	"s3	gs	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363262	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0086_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	86	ILLUMINA	2021-05-01T00:00:00Z	0086_V1V2	SRP311006	V1V2
SRR13985865	AMPLICON	498	16441406	PRJNA715083	SAMN18326255	Metagenome or environmental	9431987	CYKINSO INC	8/5/15	public	"fastq	sra"	"gs	ncbi	s3"	"ncbi.public	gs.US	s3.us-east-1"	SRX10363206	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0026_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	26	ILLUMINA	2021-05-01T00:00:00Z	0026_V1V2	SRP311006	V1V2
SRR13985876	AMPLICON	499	12568590	PRJNA715083	SAMN18326254	Metagenome or environmental	7319134	CYKINSO INC	8/4/15	public	"fastq	sra"	"ncbi	gs	s3"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363195	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0025_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	25	ILLUMINA	2021-05-01T00:00:00Z	0025_V1V2	SRP311006	V1V2
SRR13985904	AMPLICON	499	17475146	PRJNA715083	SAMN18326258	Metagenome or environmental	10077828	CYKINSO INC	8/12/16	public	"sra	fastq"	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	SRX10363167	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0029_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	29	ILLUMINA	2021-05-01T00:00:00Z	0029_V1V2	SRP311006	V1V2
SRR13985925	AMPLICON	499	18030078	PRJNA715083	SAMN18326308	Metagenome or environmental	10415154	CYKINSO INC	8/1/16	public	"sra	fastq"	"gs	ncbi	s3"	"s3.us-east-1	gs.US	ncbi.public"	SRX10363146	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0079_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	79	ILLUMINA	2021-05-01T00:00:00Z	0079_V1V2	SRP311006	V1V2
SRR13985927	AMPLICON	498	17717751	PRJNA715083	SAMN18326306	Metagenome or environmental	10435472	CYKINSO INC	8/15/16	public	"sra	fastq"	"s3	gs	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363144	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0077_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	77	ILLUMINA	2021-05-01T00:00:00Z	0077_V1V2	SRP311006	V1V2
SRR13985929	AMPLICON	499	18003372	PRJNA715083	SAMN18326304	Metagenome or environmental	10392828	CYKINSO INC	8/12/16	public	"sra	fastq"	"gs	ncbi	s3"	"ncbi.public	gs.US	s3.us-east-1"	SRX10363142	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0075_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	75	ILLUMINA	2021-05-01T00:00:00Z	0075_V1V2	SRP311006	V1V2
SRR13985931	AMPLICON	499	16908860	PRJNA715083	SAMN18326302	Metagenome or environmental	9580495	CYKINSO INC	8/3/16	public	"sra	fastq"	"ncbi	s3	gs"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363140	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0073_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	73	ILLUMINA	2021-05-01T00:00:00Z	0073_V1V2	SRP311006	V1V2
SRR13985947	AMPLICON	499	18280134	PRJNA715083	SAMN18326288	Metagenome or environmental	10475221	CYKINSO INC	8/6/15	public	"fastq	sra"	"s3	gs	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363124	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0059_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	59	ILLUMINA	2021-05-01T00:00:00Z	0059_V1V2	SRP311006	V1V2
SRR13985949	AMPLICON	499	16762681	PRJNA715083	SAMN18326286	Metagenome or environmental	9615538	CYKINSO INC	8/4/16	public	"fastq	sra"	"s3	gs	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	SRX10363122	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0057_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	57	ILLUMINA	2021-05-01T00:00:00Z	0057_V1V2	SRP311006	V1V2
SRR13985964	AMPLICON	499	17748276	PRJNA715083	SAMN18326275	Metagenome or environmental	10199663	CYKINSO INC	9/9/15	public	"fastq	sra"	"s3	gs	ncbi"	"gs.US	s3.us-east-1	ncbi.public"	SRX10363489	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0046_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	46	ILLUMINA	2021-05-01T00:00:00Z	0046_V1V2	SRP311006	V1V2
SRR13985966	AMPLICON	499	14977181	PRJNA715083	SAMN18326273	Metagenome or environmental	8573032	CYKINSO INC	8/24/15	public	"sra	fastq"	"ncbi	s3	gs"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363487	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0044_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	44	ILLUMINA	2021-05-01T00:00:00Z	0044_V1V2	SRP311006	V1V2
SRR13985971	AMPLICON	498	17917891	PRJNA715083	SAMN18326269	Metagenome or environmental	10408745	CYKINSO INC	8/12/16	public	"sra	fastq"	"gs	ncbi	s3"	"ncbi.public	gs.US	s3.us-east-1"	SRX10363482	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0040_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	40	ILLUMINA	2021-05-01T00:00:00Z	0040_V1V2	SRP311006	V1V2
SRR13985976	AMPLICON	499	17562544	PRJNA715083	SAMN18326268	Metagenome or environmental	10018452	CYKINSO INC	8/3/15	public	"sra	fastq"	"s3	ncbi	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX10363477	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0039_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	39	ILLUMINA	2021-05-01T00:00:00Z	0039_V1V2	SRP311006	V1V2
SRR13985622	AMPLICON	499	24048352	PRJNA715083	SAMN18326420	Metagenome or environmental	13598636	CYKINSO INC	8/12/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363447	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0191_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	191	ILLUMINA	2021-05-01T00:00:00Z	0191_V1V2	SRP311006	V1V2
SRR13985623	AMPLICON	498	30921490	PRJNA715083	SAMN18326249	Metagenome or environmental	17789513	CYKINSO INC	9/9/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363446	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0020_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	20	ILLUMINA	2021-05-01T00:00:00Z	0020_V1V2	SRP311006	V1V2
SRR13985626	AMPLICON	499	22558230	PRJNA715083	SAMN18326417	Metagenome or environmental	12855980	CYKINSO INC	8/12/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363443	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0188_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	188	ILLUMINA	2021-05-01T00:00:00Z	0188_V1V2	SRP311006	V1V2
SRR13985627	AMPLICON	499	24534190	PRJNA715083	SAMN18326416	Metagenome or environmental	14195385	CYKINSO INC	8/19/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363442	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0187_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	187	ILLUMINA	2021-05-01T00:00:00Z	0187_V1V2	SRP311006	V1V2
SRR13985628	AMPLICON	499	25541684	PRJNA715083	SAMN18326415	Metagenome or environmental	14777576	CYKINSO INC	8/19/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363441	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0186_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	186	ILLUMINA	2021-05-01T00:00:00Z	0186_V1V2	SRP311006	V1V2
SRR13985629	AMPLICON	499	19402345	PRJNA715083	SAMN18326414	Metagenome or environmental	11344023	CYKINSO INC	8/12/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363440	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0185_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	185	ILLUMINA	2021-05-01T00:00:00Z	0185_V1V2	SRP311006	V1V2
SRR13985630	AMPLICON	498	20526040	PRJNA715083	SAMN18326413	Metagenome or environmental	12038231	CYKINSO INC	8/12/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363439	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0184_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	184	ILLUMINA	2021-05-01T00:00:00Z	0184_V1V2	SRP311006	V1V2
SRR13985631	AMPLICON	499	36723126	PRJNA715083	SAMN18326412	Metagenome or environmental	21202235	CYKINSO INC	8/12/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363438	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0183_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	183	ILLUMINA	2021-05-01T00:00:00Z	0183_V1V2	SRP311006	V1V2
SRR13985632	AMPLICON	499	18606511	PRJNA715083	SAMN18326411	Metagenome or environmental	10616157	CYKINSO INC	8/19/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363437	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0182_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	182	ILLUMINA	2021-05-01T00:00:00Z	0182_V1V2	SRP311006	V1V2
SRR13985634	AMPLICON	498	22023680	PRJNA715083	SAMN18326248	Metagenome or environmental	12694210	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363435	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0019_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	19	ILLUMINA	2021-05-01T00:00:00Z	0019_V1V2	SRP311006	V1V2
SRR13985635	AMPLICON	499	21593689	PRJNA715083	SAMN18326279	Metagenome or environmental	12292539	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363493	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0050_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	50	ILLUMINA	2021-05-01T00:00:00Z	0050_V1V2	SRP311006	V1V2
SRR13985636	AMPLICON	498	25845374	PRJNA715083	SAMN18326409	Metagenome or environmental	14923952	CYKINSO INC	9/8/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363434	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0180_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	180	ILLUMINA	2021-05-01T00:00:00Z	0180_V1V2	SRP311006	V1V2
SRR13985637	AMPLICON	499	25272760	PRJNA715083	SAMN18326408	Metagenome or environmental	14755521	CYKINSO INC	9/9/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363433	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0179_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	179	ILLUMINA	2021-05-01T00:00:00Z	0179_V1V2	SRP311006	V1V2
SRR13985638	AMPLICON	498	24683380	PRJNA715083	SAMN18326407	Metagenome or environmental	14086490	CYKINSO INC	9/9/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363432	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0178_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	178	ILLUMINA	2021-05-01T00:00:00Z	0178_V1V2	SRP311006	V1V2
SRR13985639	AMPLICON	499	22170678	PRJNA715083	SAMN18326406	Metagenome or environmental	12781851	CYKINSO INC	9/8/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363431	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0177_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	177	ILLUMINA	2021-05-01T00:00:00Z	0177_V1V2	SRP311006	V1V2
SRR13985640	AMPLICON	499	23316564	PRJNA715083	SAMN18326405	Metagenome or environmental	13214902	CYKINSO INC	9/8/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363430	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0176_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	176	ILLUMINA	2021-05-01T00:00:00Z	0176_V1V2	SRP311006	V1V2
SRR13985641	AMPLICON	498	20948809	PRJNA715083	SAMN18326404	Metagenome or environmental	12005989	CYKINSO INC	9/7/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363429	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0175_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	175	ILLUMINA	2021-05-01T00:00:00Z	0175_V1V2	SRP311006	V1V2
SRR13985642	AMPLICON	499	20479242	PRJNA715083	SAMN18326403	Metagenome or environmental	11510305	CYKINSO INC	8/21/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363428	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0174_V1V2	PAIRED	PCR	METAGENOMIC	gut metagenome	174	ILLUMINA	2021-05-01T00:00:00Z	0174_V1V2	SRP311006	V1V2
