Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	participant_id	Platform	ReleaseDate	Sample Name	SRA Study	variable_region
SRR13985653	AMPLICON	602	22262562	PRJNA715083	SAMN18326555	Metagenome or environmental	13927642	CYKINSO INC	8/25/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363417	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0134_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	134	ILLUMINA	2021-05-01T00:00:00Z	0134_V3V4	SRP311006	V3V4
SRR13985654	AMPLICON	602	22987370	PRJNA715083	SAMN18326554	Metagenome or environmental	14388010	CYKINSO INC	8/15/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363416	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0133_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	133	ILLUMINA	2021-05-01T00:00:00Z	0133_V3V4	SRP311006	V3V4
SRR13985655	AMPLICON	602	24889690	PRJNA715083	SAMN18326553	Metagenome or environmental	15653092	CYKINSO INC	8/8/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363415	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0132_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	132	ILLUMINA	2021-05-01T00:00:00Z	0132_V3V4	SRP311006	V3V4
SRR13985656	AMPLICON	602	44467934	PRJNA715083	SAMN18326552	Metagenome or environmental	27921227	CYKINSO INC	8/2/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363414	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0131_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	131	ILLUMINA	2021-05-01T00:00:00Z	0131_V3V4	SRP311006	V3V4
SRR13985657	AMPLICON	602	25477844	PRJNA715083	SAMN18326551	Metagenome or environmental	15501425	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363413	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0130_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	130	ILLUMINA	2021-05-01T00:00:00Z	0130_V3V4	SRP311006	V3V4
SRR13985658	AMPLICON	602	36094716	PRJNA715083	SAMN18326550	Metagenome or environmental	22530860	CYKINSO INC	8/1/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363412	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0129_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	129	ILLUMINA	2021-05-01T00:00:00Z	0129_V3V4	SRP311006	V3V4
SRR13985660	AMPLICON	602	23698934	PRJNA715083	SAMN18326549	Metagenome or environmental	14734310	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363410	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0128_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	128	ILLUMINA	2021-05-01T00:00:00Z	0128_V3V4	SRP311006	V3V4
SRR13985661	AMPLICON	602	30712234	PRJNA715083	SAMN18326548	Metagenome or environmental	19201358	CYKINSO INC	8/8/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363409	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0127_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	127	ILLUMINA	2021-05-01T00:00:00Z	0127_V3V4	SRP311006	V3V4
SRR13985662	AMPLICON	602	32943246	PRJNA715083	SAMN18326547	Metagenome or environmental	20821720	CYKINSO INC	7/27/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363408	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0126_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	126	ILLUMINA	2021-05-01T00:00:00Z	0126_V3V4	SRP311006	V3V4
SRR13985663	AMPLICON	602	21973602	PRJNA715083	SAMN18326546	Metagenome or environmental	14155008	CYKINSO INC	8/9/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363407	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0125_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	125	ILLUMINA	2021-05-01T00:00:00Z	0125_V3V4	SRP311006	V3V4
SRR13985664	AMPLICON	602	29566628	PRJNA715083	SAMN18326545	Metagenome or environmental	18288253	CYKINSO INC	7/21/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363406	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0124_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	124	ILLUMINA	2021-05-01T00:00:00Z	0124_V3V4	SRP311006	V3V4
SRR13985665	AMPLICON	602	34994260	PRJNA715083	SAMN18326544	Metagenome or environmental	22471258	CYKINSO INC	9/11/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363405	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0123_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	123	ILLUMINA	2021-05-01T00:00:00Z	0123_V3V4	SRP311006	V3V4
SRR13985666	AMPLICON	602	29371580	PRJNA715083	SAMN18326543	Metagenome or environmental	18666773	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363404	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0122_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	122	ILLUMINA	2021-05-01T00:00:00Z	0122_V3V4	SRP311006	V3V4
SRR13985667	AMPLICON	602	27894272	PRJNA715083	SAMN18326542	Metagenome or environmental	17644693	CYKINSO INC	9/9/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363403	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0121_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	121	ILLUMINA	2021-05-01T00:00:00Z	0121_V3V4	SRP311006	V3V4
SRR13985668	AMPLICON	602	29402884	PRJNA715083	SAMN18326541	Metagenome or environmental	18695693	CYKINSO INC	9/4/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363402	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0120_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	120	ILLUMINA	2021-05-01T00:00:00Z	0120_V3V4	SRP311006	V3V4
SRR13985669	AMPLICON	602	25804730	PRJNA715083	SAMN18326540	Metagenome or environmental	16091165	CYKINSO INC	9/7/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363401	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0119_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	119	ILLUMINA	2021-05-01T00:00:00Z	0119_V3V4	SRP311006	V3V4
SRR13985671	AMPLICON	602	28926100	PRJNA715083	SAMN18326539	Metagenome or environmental	17952194	CYKINSO INC	8/21/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363399	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0118_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	118	ILLUMINA	2021-05-01T00:00:00Z	0118_V3V4	SRP311006	V3V4
SRR13985672	AMPLICON	602	27080970	PRJNA715083	SAMN18326538	Metagenome or environmental	16646384	CYKINSO INC	8/5/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363398	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0117_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	117	ILLUMINA	2021-05-01T00:00:00Z	0117_V3V4	SRP311006	V3V4
SRR13985673	AMPLICON	602	26435626	PRJNA715083	SAMN18326537	Metagenome or environmental	16684920	CYKINSO INC	8/15/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363397	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0116_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	116	ILLUMINA	2021-05-01T00:00:00Z	0116_V3V4	SRP311006	V3V4
SRR13985674	AMPLICON	602	33967248	PRJNA715083	SAMN18326536	Metagenome or environmental	20855752	CYKINSO INC	8/8/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363396	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0115_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	115	ILLUMINA	2021-05-01T00:00:00Z	0115_V3V4	SRP311006	V3V4
SRR13985675	AMPLICON	602	30241470	PRJNA715083	SAMN18326535	Metagenome or environmental	18484304	CYKINSO INC	7/28/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363395	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0114_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	114	ILLUMINA	2021-05-01T00:00:00Z	0114_V3V4	SRP311006	V3V4
SRR13985676	AMPLICON	602	27300700	PRJNA715083	SAMN18326534	Metagenome or environmental	17037973	CYKINSO INC	7/29/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363394	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0113_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	113	ILLUMINA	2021-05-01T00:00:00Z	0113_V3V4	SRP311006	V3V4
SRR13985677	AMPLICON	602	27163444	PRJNA715083	SAMN18326533	Metagenome or environmental	16908312	CYKINSO INC	8/15/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363393	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0112_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	112	ILLUMINA	2021-05-01T00:00:00Z	0112_V3V4	SRP311006	V3V4
SRR13985678	AMPLICON	602	19014170	PRJNA715083	SAMN18326532	Metagenome or environmental	12032140	CYKINSO INC	9/7/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363392	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0111_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	111	ILLUMINA	2021-05-01T00:00:00Z	0111_V3V4	SRP311006	V3V4
SRR13985679	AMPLICON	602	26233956	PRJNA715083	SAMN18326531	Metagenome or environmental	16192753	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363391	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0110_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	110	ILLUMINA	2021-05-01T00:00:00Z	0110_V3V4	SRP311006	V3V4
SRR13985680	AMPLICON	602	29277066	PRJNA715083	SAMN18326530	Metagenome or environmental	18371119	CYKINSO INC	7/27/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363390	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0109_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	109	ILLUMINA	2021-05-01T00:00:00Z	0109_V3V4	SRP311006	V3V4
SRR13985683	AMPLICON	602	26773950	PRJNA715083	SAMN18326529	Metagenome or environmental	16914606	CYKINSO INC	8/5/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363387	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0108_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	108	ILLUMINA	2021-05-01T00:00:00Z	0108_V3V4	SRP311006	V3V4
SRR13985684	AMPLICON	602	28659414	PRJNA715083	SAMN18326528	Metagenome or environmental	17502291	CYKINSO INC	8/10/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363386	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0107_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	107	ILLUMINA	2021-05-01T00:00:00Z	0107_V3V4	SRP311006	V3V4
SRR13985685	AMPLICON	602	30563540	PRJNA715083	SAMN18326527	Metagenome or environmental	19405990	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363186	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0106_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	106	ILLUMINA	2021-05-01T00:00:00Z	0106_V3V4	SRP311006	V3V4
SRR13985686	AMPLICON	602	25751152	PRJNA715083	SAMN18326590	Metagenome or environmental	15995060	CYKINSO INC	8/12/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363384	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0169_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	169	ILLUMINA	2021-05-01T00:00:00Z	0169_V3V4	SRP311006	V3V4
SRR13985688	AMPLICON	602	24326820	PRJNA715083	SAMN18326589	Metagenome or environmental	15574254	CYKINSO INC	7/29/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363382	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0168_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	168	ILLUMINA	2021-05-01T00:00:00Z	0168_V3V4	SRP311006	V3V4
SRR13985689	AMPLICON	602	32594688	PRJNA715083	SAMN18326588	Metagenome or environmental	20235348	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363381	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0167_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	167	ILLUMINA	2021-05-01T00:00:00Z	0167_V3V4	SRP311006	V3V4
SRR13985690	AMPLICON	602	32010748	PRJNA715083	SAMN18326587	Metagenome or environmental	20235805	CYKINSO INC	8/24/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363380	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0166_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	166	ILLUMINA	2021-05-01T00:00:00Z	0166_V3V4	SRP311006	V3V4
SRR13985691	AMPLICON	602	27093612	PRJNA715083	SAMN18326586	Metagenome or environmental	16994104	CYKINSO INC	9/7/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363379	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0165_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	165	ILLUMINA	2021-05-01T00:00:00Z	0165_V3V4	SRP311006	V3V4
SRR13985692	AMPLICON	602	21824306	PRJNA715083	SAMN18326585	Metagenome or environmental	13624884	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363378	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0164_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	164	ILLUMINA	2021-05-01T00:00:00Z	0164_V3V4	SRP311006	V3V4
SRR13985693	AMPLICON	602	37519048	PRJNA715083	SAMN18326584	Metagenome or environmental	23040019	CYKINSO INC	7/28/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363377	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0163_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	163	ILLUMINA	2021-05-01T00:00:00Z	0163_V3V4	SRP311006	V3V4
SRR13985694	AMPLICON	602	34796202	PRJNA715083	SAMN18326583	Metagenome or environmental	22248077	CYKINSO INC	9/7/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363376	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0162_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	162	ILLUMINA	2021-05-01T00:00:00Z	0162_V3V4	SRP311006	V3V4
SRR13985695	AMPLICON	602	25699982	PRJNA715083	SAMN18326582	Metagenome or environmental	16011958	CYKINSO INC	8/15/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363375	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0161_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	161	ILLUMINA	2021-05-01T00:00:00Z	0161_V3V4	SRP311006	V3V4
SRR13985696	AMPLICON	602	23618266	PRJNA715083	SAMN18326581	Metagenome or environmental	14831929	CYKINSO INC	8/10/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363374	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0160_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	160	ILLUMINA	2021-05-01T00:00:00Z	0160_V3V4	SRP311006	V3V4
SRR13985697	AMPLICON	602	27826246	PRJNA715083	SAMN18326580	Metagenome or environmental	17280154	CYKINSO INC	8/5/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363373	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0159_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	159	ILLUMINA	2021-05-01T00:00:00Z	0159_V3V4	SRP311006	V3V4
SRR13985699	AMPLICON	602	27117090	PRJNA715083	SAMN18326579	Metagenome or environmental	17406766	CYKINSO INC	9/9/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363371	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0158_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	158	ILLUMINA	2021-05-01T00:00:00Z	0158_V3V4	SRP311006	V3V4
SRR13985700	AMPLICON	602	31182998	PRJNA715083	SAMN18326578	Metagenome or environmental	19618441	CYKINSO INC	8/8/16	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363370	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0157_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	157	ILLUMINA	2021-05-01T00:00:00Z	0157_V3V4	SRP311006	V3V4
SRR13985701	AMPLICON	602	28224770	PRJNA715083	SAMN18326577	Metagenome or environmental	17446283	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363369	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0156_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	156	ILLUMINA	2021-05-01T00:00:00Z	0156_V3V4	SRP311006	V3V4
SRR13985702	AMPLICON	602	24940860	PRJNA715083	SAMN18326576	Metagenome or environmental	15671926	CYKINSO INC	9/7/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363368	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0155_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	155	ILLUMINA	2021-05-01T00:00:00Z	0155_V3V4	SRP311006	V3V4
SRR13985703	AMPLICON	602	23747696	PRJNA715083	SAMN18326575	Metagenome or environmental	14623598	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363367	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0154_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	154	ILLUMINA	2021-05-01T00:00:00Z	0154_V3V4	SRP311006	V3V4
SRR13985704	AMPLICON	602	29115128	PRJNA715083	SAMN18326574	Metagenome or environmental	18123423	CYKINSO INC	9/10/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363366	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0153_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	153	ILLUMINA	2021-05-01T00:00:00Z	0153_V3V4	SRP311006	V3V4
SRR13985705	AMPLICON	602	25744530	PRJNA715083	SAMN18326573	Metagenome or environmental	15926909	CYKINSO INC	8/19/15	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX10363365	Japan	Asia	Japan	Homo sapiens	Illumina MiSeq	Human stool	not collected	0152_V3V4	PAIRED	PCR	METAGENOMIC	gut metagenome	152	ILLUMINA	2021-05-01T00:00:00Z	0152_V3V4	SRP311006	V3V4
