Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	cycles	DATASTORE filetype	DATASTORE provider	DATASTORE region	dilution_factor	dilution_liquid	DNA_input_pg	Experiment	fresh_old	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	HOST	Instrument	iso_co_type	iso_run_nr	Isolation_Source	Lat_Lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	miseq_run_nr	ms_co_type	Organism	pcr_plate_nr	pico_ug_ul	Platform	qpcr_16S_ct	qpcr_16S_pgul	Raw	ReleaseDate	create_date	version	Sample Name	shared_id (run)	shared_id	SRA Study	Type
SRR14149338	AMPLICON	502	28452858	PRJNA718293	SAMN18629380	Metagenome or environmental	15077173	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	sra	fastq"	"s3	ncbi	gs"	"s3.us-east-1	ncbi.public	gs.US"	NA	NA	NA	SRX10518620	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	352	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	35.2873716	ILLUMINA	27.8211479187012	0.421676348196343	37454	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_361_2	L005_361	L005_361	SRP312669	sample
SRR14149339	AMPLICON	502	37810138	PRJNA718293	SAMN18629379	Metagenome or environmental	19217330	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	run.zq	fastq"	"gs	s3	ncbi"	"s3.us-east-1	ncbi.public	gs.US"	NA	NA	NA	SRX10518619	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	351	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	69.573312	ILLUMINA	22.3269348144531	15.4379392042756	51455	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	L005_349_2	L005_349	L005_349	SRP312669	sample
SRR14149340	AMPLICON	502	29955846	PRJNA718293	SAMN18629064	Metagenome or environmental	16457637	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"s3	ncbi	gs"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518618	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	36	PAIRED	PCR	METAGENOMIC	51	NA	metagenome	NA	53.404512	ILLUMINA	26.7531261444092	0.849043426569551	34913	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_358_1	L005_358	L005_358	SRP312669	sample
SRR14149341	AMPLICON	502	44851190	PRJNA718293	SAMN18629378	Metagenome or environmental	23395571	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	sra	run.zq"	"gs	s3	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518617	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	27	NP	52.1365344 N 5.2103806 E	350	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	50.613044	ILLUMINA	26.8576908111572	0.707268482074142	57626	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_423_2	L005_423	L005_423	SRP312669	sample
SRR14149342	AMPLICON	502	34040118	PRJNA718293	SAMN18629377	Metagenome or environmental	16461116	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	sra	fastq"	"ncbi	gs	s3"	"ncbi.public	gs.US	s3.us-east-1"	NA	NA	NA	SRX10518616	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	349	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	33.4683816	ILLUMINA	27.4092807769775	0.552323355805129	48925	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_343_2	L005_343	L005_343	SRP312669	sample
SRR14149343	AMPLICON	502	55421302	PRJNA718293	SAMN18629376	Metagenome or environmental	28753987	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	sra	run.zq"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518615	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	NA	NA	52.1365344 N 5.2103806 E	348	PAIRED	PCR	METAGENOMIC	52	Zymo	metagenome	5	87.614288	ILLUMINA	NA	NA	60714	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	ms_co_Zymo_5_2	NA	NA	SRP312669	ms_co
SRR14149344	AMPLICON	502	35477846	PRJNA718293	SAMN18629375	Metagenome or environmental	20128766	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"gs	s3	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	NA	NA	NA	SRX10518614	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	347	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	27.6181462	ILLUMINA	28.8103694915771	0.220523317693733	37032	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_387_2	L005_387	L005_387	SRP312669	sample
SRR14149345	AMPLICON	502	36113880	PRJNA718293	SAMN18629374	Metagenome or environmental	18029586	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	fastq	sra"	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	NA	NA	NA	SRX10518613	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	27	NP	52.1365344 N 5.2103806 E	346	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	81.580512	ILLUMINA	20.416410446167	48.1408424675465	51371	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_419_2	L005_419	L005_419	SRP312669	sample
SRR14149346	AMPLICON	502	34750950	PRJNA718293	SAMN18629373	Metagenome or environmental	18382334	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	sra	fastq"	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	NA	NA	NA	SRX10518612	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	345	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	36.932547	ILLUMINA	27.0957508087158	0.678299635183066	41372	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	L005_348_2	L005_348	L005_348	SRP312669	sample
SRR14149347	AMPLICON	502	30217388	PRJNA718293	SAMN18629372	Metagenome or environmental	16329624	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	run.zq	sra"	"ncbi	s3	gs"	"ncbi.public	gs.US	s3.us-east-1"	NA	NA	NA	SRX10518611	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	25	NP	52.1365344 N 5.2103806 E	344	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	26.1560418	ILLUMINA	28.6457214355469	0.200556809431873	33399	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_312_2	L005_312	L005_312	SRP312669	sample
SRR14149348	AMPLICON	502	34827756	PRJNA718293	SAMN18629371	Metagenome or environmental	20373628	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"run.zq	fastq	sra"	"s3	gs	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518610	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	24	NP	52.1365344 N 5.2103806 E	343	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	36.9042516	ILLUMINA	27.8859729766846	0.439105875557289	34482	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_305_2	L005_305	L005_305	SRP312669	sample
SRR14149349	AMPLICON	502	13350188	PRJNA718293	SAMN18629370	Metagenome or environmental	7528376	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"gs	ncbi	s3"	"ncbi.public	s3.us-east-1	gs.US"	NA	NA	NA	SRX10518609	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	28	NP	52.1365344 N 5.2103806 E	342	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	12.1211024	ILLUMINA	29.8530921936035	0.221217051148415	15431	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_454_2	L005_454	L005_454	SRP312669	sample
SRR14149350	AMPLICON	502	29204352	PRJNA718293	SAMN18629369	Metagenome or environmental	16705359	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	run.zq	fastq"	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	NA	NA	NA	SRX10518608	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	28	NP	52.1365344 N 5.2103806 E	341	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	33.0373438	ILLUMINA	28.8439197540283	0.442662858404219	33097	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_481_2	L005_481	L005_481	SRP312669	sample
SRR14149351	AMPLICON	502	40876354	PRJNA718293	SAMN18629063	Metagenome or environmental	20077689	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	sra	run.zq"	"ncbi	gs	s3"	"ncbi.public	s3.us-east-1	gs.US"	NA	NA	NA	SRX10518607	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	ZM	26	NA	52.1365344 N 5.2103806 E	35	PAIRED	PCR	METAGENOMIC	51	NA	metagenome	NA	62.813694	ILLUMINA	22.2984771728516	15.7285314053297	60835	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	iso_co_26_ZM_1	NA	NA	SRP312669	iso_co
SRR14149352	AMPLICON	502	30122510	PRJNA718293	SAMN18629368	Metagenome or environmental	16538412	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"fastq	run.zq	sra"	"ncbi	s3	gs"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518606	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	29	NP	52.1365344 N 5.2103806 E	340	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	37.2519856	ILLUMINA	26.9935607910156	0.809076940640807	31704	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_507_2	L005_507	L005_507	SRP312669	sample
SRR14149353	AMPLICON	502	29387080	PRJNA718293	SAMN18629367	Metagenome or environmental	15239144	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	run.zq	fastq"	"ncbi	s3	gs"	"ncbi.public	s3.us-east-1	gs.US"	NA	NA	NA	SRX10518605	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	ZM	28	NA	52.1365344 N 5.2103806 E	339	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	44.466956	ILLUMINA	24.3603763580322	9.64904204010963	39432	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	iso_co_28_ZM_2	NA	NA	SRP312669	iso_co
SRR14149354	AMPLICON	502	31126510	PRJNA718293	SAMN18629366	Metagenome or environmental	17504784	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	run.zq	fastq"	"gs	ncbi	s3"	"s3.us-east-1	ncbi.public	gs.US"	NA	NA	NA	SRX10518604	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	24	NP	52.1365344 N 5.2103806 E	338	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	25.67502	ILLUMINA	29.3807544708252	0.160952098667622	27470	2021-12-14T00:00:00Z	2021-04-06T05:45:00Z	1	L005_291_2	L005_291	L005_291	SRP312669	sample
SRR14149355	AMPLICON	502	28483982	PRJNA718293	SAMN18629365	Metagenome or environmental	15617271	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"gs	s3	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	NA	NA	NA	SRX10518603	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	29	NP	52.1365344 N 5.2103806 E	337	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	29.2481548	ILLUMINA	26.6854496002197	0.995862763375044	34543	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	L005_513_2	L005_513	L005_513	SRP312669	sample
SRR14149356	AMPLICON	502	35646518	PRJNA718293	SAMN18629364	Metagenome or environmental	17455238	CENTRE FOR INFECTIOUS DISEASE CONTROL/NATIONAL INSTITUTE FOR PUBLIC HEALTH AND THE ENVIRONMENT	2020-01-01	public	NA	"sra	fastq	run.zq"	"gs	s3	ncbi"	"gs.US	s3.us-east-1	ncbi.public"	NA	NA	NA	SRX10518602	NA	Netherlands	Europe	Netherlands: Bilthoven	Homo sapiens	Illumina MiSeq	NA	26	NP	52.1365344 N 5.2103806 E	336	PAIRED	PCR	METAGENOMIC	52	NA	metagenome	NA	61.327224	ILLUMINA	22.8686199188232	10.8250519260764	50344	2021-12-14T00:00:00Z	2021-04-06T05:44:00Z	1	L005_365_2	L005_365	L005_365	SRP312669	sample
