#SampleID	Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	age_units	body_habitat	body_product	body_site	collection_timestamp	dna_extracted	geo_loc_name	geography	host_age	host_age_month	host_age_years	host_common_name	host_gravidity	host_head_width_mm	host_length_mm	host_scientific_name	host_sex	host_state	host_subject_id	host_taxid	host_tot_mass_g	host_weight	latitude	loc_rad_geiger_gamma_usv_per_h	loc_rad_log	location	log_loc_rad_geiger_gamma_usv_per_h	longitude	mapfile	physical_specimen_location	physical_specimen_remaining	replicate	sample_type	sex	treatment	weight_units	loc2
ERR2722435	OTHER	251	PRJEB28050	SAMEA4813607	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736206	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.140	8/4/18	16	10	skin metagenome	ILLUMINA	8/4/18	ERR2722435	ERS2633507	ERP110215	qiita_sid_11844:11844.vole.140	NA	months	NA	NA	NA	5/30/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.53	NA	Myodes glareolus	male	ad	NA	447135	17.83	17.83	51.382351	45.9275	NA	CEZ	NA	30.030332	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722436	OTHER	251	PRJEB28050	SAMEA4813608	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736207	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.143	8/4/18	40	24	skin metagenome	ILLUMINA	8/4/18	ERR2722436	ERS2633508	ERP110215	qiita_sid_11844:11844.vole.143	NA	months	NA	NA	NA	5/30/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.19	NA	Myodes glareolus	male	ad	NA	447135	22.37	22.37	51.382351	39.606	NA	CEZ	NA	30.030332	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722437	OTHER	251	PRJEB28050	SAMEA4813609	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736208	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.145	8/4/18	65	39	skin metagenome	ILLUMINA	8/4/18	ERR2722437	ERS2633509	ERP110215	qiita_sid_11844:11844.vole.145	NA	months	NA	NA	NA	5/30/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.27	NA	Myodes glareolus	male	ad	NA	447135	21.17	21.17	51.385359	12.39	NA	CEZ	NA	30.04234	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722438	OTHER	251	PRJEB28050	SAMEA4813610	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736209	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.146	8/4/18	67	40	skin metagenome	ILLUMINA	8/4/18	ERR2722438	ERS2633510	ERP110215	qiita_sid_11844:11844.vole.146	NA	months	NA	NA	NA	5/30/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	yes	12.25	NA	Myodes glareolus	female	ad	NA	447135	27.36	27.36	51.385359	12.39	NA	CEZ	NA	30.04234	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722439	OTHER	251	PRJEB28050	SAMEA4813611	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736210	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.147	8/4/18	21	13	skin metagenome	ILLUMINA	8/4/18	ERR2722439	ERS2633511	ERP110215	qiita_sid_11844:11844.vole.147	NA	months	NA	NA	NA	5/31/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.42	NA	Myodes glareolus	male	ad	NA	447135	19.29	19.29	51.379208	11.961	NA	CEZ	NA	30.024888	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722440	OTHER	251	PRJEB28050	SAMEA4813612	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736211	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.149	8/4/18	16	10	skin metagenome	ILLUMINA	8/4/18	ERR2722440	ERS2633512	ERP110215	qiita_sid_11844:11844.vole.149	NA	months	NA	NA	NA	5/31/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	1	1	NA	Bank vole	no	11.8	NA	Myodes glareolus	male	juv	NA	447135	18.02	18.02	51.383469	62.19	NA	CEZ	NA	30.034368	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722441	OTHER	251	PRJEB28050	SAMEA4813613	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736212	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.15	8/4/18	22	14	skin metagenome	ILLUMINA	8/4/18	ERR2722441	ERS2633513	ERP110215	qiita_sid_11844:11844.vole.15	NA	months	NA	NA	NA	5/26/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Rosoha	2~5	2~5	NA	Bank vole	no	12.68	NA	Myodes glareolus	male	ad	NA	447135	26.21	26.21	51.172432	0.31675	NA	CEZ	NA	30.045733	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL1	skin	male	CL	g	inside CEZ
ERR2722442	OTHER	251	PRJEB28050	SAMEA4813614	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736213	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.150	8/4/18	22	14	skin metagenome	ILLUMINA	8/4/18	ERR2722442	ERS2633514	ERP110215	qiita_sid_11844:11844.vole.150	NA	months	NA	NA	NA	5/31/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	1	1	NA	Bank vole	no	11.7	NA	Myodes glareolus	male	juv	NA	447135	14.5	14.5	51.382351	45.9275	NA	CEZ	NA	30.030332	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722443	OTHER	251	PRJEB28050	SAMEA4813615	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736214	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.159	8/4/18	58	36	skin metagenome	ILLUMINA	8/4/18	ERR2722443	ERS2633515	ERP110215	qiita_sid_11844:11844.vole.159	NA	months	NA	NA	NA	6/1/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	1	1	NA	Bank vole	no	11.86	NA	Myodes glareolus	female	juv	NA	447135	21.05	21.05	51.385282	19.39	NA	CEZ	NA	30.041059	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722444	OTHER	251	PRJEB28050	SAMEA4813616	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736215	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.16	8/4/18	21	13	skin metagenome	ILLUMINA	8/4/18	ERR2722444	ERS2633516	ERP110215	qiita_sid_11844:11844.vole.16	NA	months	NA	NA	NA	5/26/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	RedForest	2~5	2~5	NA	Bank vole	no	12.74	NA	Myodes glareolus	female	ad	NA	447135	17.86	17.86	51.381883	49.12125	NA	CEZ	NA	30.037636	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722445	OTHER	251	PRJEB28050	SAMEA4813617	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736216	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.162	8/4/18	18	11	skin metagenome	ILLUMINA	8/4/18	ERR2722445	ERS2633517	ERP110215	qiita_sid_11844:11844.vole.162	NA	months	NA	NA	NA	6/1/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	13.2	NA	Myodes glareolus	female	ad	NA	447135	19.91	19.91	51.39028	10.6425	NA	CEZ	NA	30.0704	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722446	OTHER	251	PRJEB28050	SAMEA4813618	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736217	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.168	8/4/18	30	18	skin metagenome	ILLUMINA	8/4/18	ERR2722446	ERS2633518	ERP110215	qiita_sid_11844:11844.vole.168	NA	months	NA	NA	NA	6/2/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	RedForest	2~5	2~5	NA	Bank vole	yes	12.63	NA	Myodes glareolus	female	ad	NA	447135	33.52	33.52	51.38247	59.59	NA	CEZ	NA	30.042622	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722447	OTHER	251	PRJEB28050	SAMEA4813619	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736218	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.17	8/4/18	9	6	skin metagenome	ILLUMINA	8/4/18	ERR2722447	ERS2633519	ERP110215	qiita_sid_11844:11844.vole.17	NA	months	NA	NA	NA	5/26/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	RedForest	2~5	2~5	NA	Bank vole	no	13.31	NA	Myodes glareolus	female	ad	NA	447135	27.93	27.93	51.381883	49.12125	NA	CEZ	NA	30.037636	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722448	OTHER	251	PRJEB28050	SAMEA4813620	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736219	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.177	8/4/18	47	29	skin metagenome	ILLUMINA	8/4/18	ERR2722448	ERS2633520	ERP110215	qiita_sid_11844:11844.vole.177	NA	months	NA	NA	NA	6/2/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	RedForest	2~5	2~5	NA	Bank vole	no	12.29	NA	Myodes glareolus	female	ad	NA	447135	17.39	17.39	51.38247	59.59	NA	CEZ	NA	30.042622	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722449	OTHER	251	PRJEB28050	SAMEA4813621	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736220	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.18	8/4/18	18	11	skin metagenome	ILLUMINA	8/4/18	ERR2722449	ERS2633521	ERP110215	qiita_sid_11844:11844.vole.18	NA	months	NA	NA	NA	5/26/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	RedForest	2~5	2~5	NA	Bank vole	yes	13.26	NA	Myodes glareolus	female	ad	NA	447135	22.05	22.05	51.384605	123.183	NA	CEZ	NA	30.057874	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722450	OTHER	251	PRJEB28050	SAMEA4813622	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736221	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.180	8/4/18	37	23	skin metagenome	ILLUMINA	8/4/18	ERR2722450	ERS2633522	ERP110215	qiita_sid_11844:11844.vole.180	NA	months	NA	NA	NA	6/3/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Vesnyane	2~5	2~5	NA	Bank vole	yes	12.45	NA	Myodes glareolus	female	ad	NA	447135	24.78	24.78	51.299806	17	NA	CEZ	NA	29.63943	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH3	skin	female	CH	g	inside CEZ
ERR2722451	OTHER	251	PRJEB28050	SAMEA4813623	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736222	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.186	8/4/18	17	11	skin metagenome	ILLUMINA	8/4/18	ERR2722451	ERS2633523	ERP110215	qiita_sid_11844:11844.vole.186	NA	months	NA	NA	NA	6/3/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Vesnyane	2~5	2~5	NA	Bank vole	yes	12	NA	Myodes glareolus	female	ad	NA	447135	30.94	30.94	51.294682	15	NA	CEZ	NA	29.642889	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH3	skin	female	CH	g	inside CEZ
ERR2722452	OTHER	251	PRJEB28050	SAMEA4813624	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736223	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.189	8/4/18	38	23	skin metagenome	ILLUMINA	8/4/18	ERR2722452	ERS2633524	ERP110215	qiita_sid_11844:11844.vole.189	NA	months	NA	NA	NA	6/3/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	RedForest	10	10	NA	Bank vole	yes	13.86	NA	Myodes glareolus	female	ad2	NA	447135	27.54	27.54	51.38868	10.06	NA	CEZ	NA	30.071586	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	female	CH	g	inside CEZ
ERR2722453	OTHER	251	PRJEB28050	SAMEA4813625	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736224	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.19	8/4/18	17	10	skin metagenome	ILLUMINA	8/4/18	ERR2722453	ERS2633525	ERP110215	qiita_sid_11844:11844.vole.19	NA	months	NA	NA	NA	5/27/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Chistogal	2~5	2~5	NA	Bank vole	no	12.97	NA	Myodes glareolus	male	ad	NA	447135	21.26	21.26	51.380876	24.1725	NA	CEZ	NA	30.028058	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH1	skin	male	CH	g	inside CEZ
ERR2722454	OTHER	251	PRJEB28050	SAMEA4813626	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736225	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.193	8/4/18	25	16	skin metagenome	ILLUMINA	8/4/18	ERR2722454	ERS2633526	ERP110215	qiita_sid_11844:11844.vole.193	NA	months	NA	NA	NA	6/4/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Vesnyane	2~5	2~5	NA	Bank vole	yes	12.91	NA	Myodes glareolus	female	ad	NA	447135	22.41	22.41	51.294682	16.32	NA	CEZ	NA	29.642889	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH3	skin	female	CH	g	inside CEZ
ERR2722455	OTHER	251	PRJEB28050	SAMEA4813627	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736226	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.197	8/4/18	34	21	skin metagenome	ILLUMINA	8/4/18	ERR2722455	ERS2633527	ERP110215	qiita_sid_11844:11844.vole.197	NA	months	NA	NA	NA	6/4/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Vesnyane	2~5	2~5	NA	Bank vole	yes	13.13	NA	Myodes glareolus	female	ad	NA	447135	25.54	25.54	51.294682	16.32	NA	CEZ	NA	29.642889	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CH3	skin	female	CH	g	inside CEZ
ERR2722456	OTHER	251	PRJEB28050	SAMEA4813628	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	sra	ncbi	8/3/18	8/3/18	ERX2736227	0	Illumina MiSeq	SINGLE	PCR	METAGENOMIC	11844.vole.2	8/4/18	15	9	skin metagenome	ILLUMINA	8/4/18	ERR2722456	ERS2633528	ERP110215	qiita_sid_11844:11844.vole.2	NA	months	NA	NA	NA	5/25/16	TRUE	Chernobyl Nuclear Power Plant Exclusion Zone	Rosoha	2~5	2~5	NA	Bank vole	no	12.37	NA	Myodes glareolus	male	ad	NA	447135	21.68	21.68	51.15715	0.184125	NA	CEZ	NA	29.98504	SraRunTable.txt	"NA (prev. University of Oulu, Department of Ecology and Genetics)"	FALSE	CL1	skin	male	CL	g	inside CEZ
