Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	env_broad_scale	env_local_scale	env_medium	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study
SRR13737298	AMPLICON	371	20089374	PRJNA702770	SAMN17978423	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	10318814	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124689	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.3 E	W21	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample47	SRP306992
SRR13737318	AMPLICON	371	28184927	PRJNA702770	SAMN17978405	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14341313	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124669	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.8 E	D32	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample29	SRP306992
SRR13737305	AMPLICON	370	30425820	PRJNA702770	SAMN17978381	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15328982	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124682	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.4 N 123 E	D8	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample5	SRP306992
SRR13737281	AMPLICON	370	29816811	PRJNA702770	SAMN17978377	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15046447	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124706	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123 E	D3	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample1	SRP306992
SRR13737282	AMPLICON	372	29193498	PRJNA702770	SAMN17978386	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14434667	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124705	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.9 N 123 E	D13	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample10	SRP306992
SRR13737284	AMPLICON	370	30406933	PRJNA702770	SAMN17978384	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15555283	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124703	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.7 N 123 E	D11	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample8	SRP306992
SRR13737285	AMPLICON	371	29142834	PRJNA702770	SAMN17978383	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14925382	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124702	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.6 N 123 E	D10	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample7	SRP306992
SRR13737286	AMPLICON	371	24967497	PRJNA702770	SAMN17978434	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	12424783	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	ncbi	ncbi.public	not applicable	not applicable	fecal	SRX10124701	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.14 E	W32	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample58	SRP306992
SRR13737287	AMPLICON	370	24881394	PRJNA702770	SAMN17978433	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	12419676	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124700	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.13 E	W31	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample57	SRP306992
SRR13737290	AMPLICON	371	26417016	PRJNA702770	SAMN17978430	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13243718	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124697	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.10 E	W28	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample54	SRP306992
SRR13737291	AMPLICON	371	27797772	PRJNA702770	SAMN17978429	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14104027	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124696	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.9 E	W27	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample53	SRP306992
SRR13737296	AMPLICON	370	25038685	PRJNA702770	SAMN17978425	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	12609575	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124691	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.5 E	W23	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample49	SRP306992
SRR13737300	AMPLICON	371	25747137	PRJNA702770	SAMN17978421	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13239280	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124687	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.1 E	W19	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample45	SRP306992
SRR13737302	AMPLICON	371	28406545	PRJNA702770	SAMN17978419	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14275508	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124685	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 127 E	W17	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample43	SRP306992
SRR13737308	AMPLICON	371	29914806	PRJNA702770	SAMN17978414	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15201161	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124679	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.7 E	W12	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample38	SRP306992
SRR13737310	AMPLICON	371	28948810	PRJNA702770	SAMN17978412	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14757961	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124677	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.5 E	W10	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample36	SRP306992
SRR13737315	AMPLICON	370	26274191	PRJNA702770	SAMN17978407	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13471041	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124672	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124 E	W5	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample31	SRP306992
SRR13737319	AMPLICON	371	26620888	PRJNA702770	SAMN17978404	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13423111	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124668	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.7 E	D31	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample28	SRP306992
SRR13737320	AMPLICON	371	27050703	PRJNA702770	SAMN17978403	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13462041	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124667	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.6 E	D30	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample27	SRP306992
SRR13737322	AMPLICON	372	30910886	PRJNA702770	SAMN17978401	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15238446	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124665	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.4 E	D28	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample25	SRP306992
SRR13737325	AMPLICON	371	21758315	PRJNA702770	SAMN17978398	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	11236211	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124662	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41 N 123.1 E	D25	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample22	SRP306992
SRR13737326	AMPLICON	370	23469656	PRJNA702770	SAMN17978397	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	12103389	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124661	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.9 N 123 E	D24	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample21	SRP306992
SRR13737327	AMPLICON	370	25816706	PRJNA702770	SAMN17978379	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	12906020	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124660	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.2 N 123 E	D6	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample3	SRP306992
SRR13737329	AMPLICON	371	29791469	PRJNA702770	SAMN17978395	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15347699	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124658	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.7 N 123 E	D22	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample19	SRP306992
SRR13737330	AMPLICON	370	30927182	PRJNA702770	SAMN17978394	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15789191	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124657	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.6 N 123 E	D21	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample18	SRP306992
SRR13737335	AMPLICON	371	27718186	PRJNA702770	SAMN17978389	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14070819	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124652	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.2 N 123 E	D16	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample13	SRP306992
SRR13737280	AMPLICON	370	28855750	PRJNA702770	SAMN17978378	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14712635	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124707	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.1 N 123 E	D5	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample2	SRP306992
SRR13737289	AMPLICON	371	29988726	PRJNA702770	SAMN17978431	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	15079967	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124698	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.11 E	W29	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample55	SRP306992
SRR13737295	AMPLICON	371	28053543	PRJNA702770	SAMN17978426	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14106072	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi"	"gs.US	ncbi.public"	not applicable	not applicable	fecal	SRX10124692	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.6 E	W24	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample50	SRP306992
SRR13737316	AMPLICON	371	26656776	PRJNA702770	SAMN17978380	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13555131	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124671	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	41.3 N 123 E	D7	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample4	SRP306992
SRR13737331	AMPLICON	369	28606906	PRJNA702770	SAMN17978393	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14615823	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124656	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.5 N 123 E	D20	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample17	SRP306992
SRR13737312	AMPLICON	370	26659014	PRJNA702770	SAMN17978410	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13612269	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"s3	gs	ncbi"	"s3.us-east-1	ncbi.public	gs.US"	not applicable	not applicable	fecal	SRX10124675	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.3 E	W8	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample34	SRP306992
SRR13737332	AMPLICON	369	31820968	PRJNA702770	SAMN17978392	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	16192792	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-29	public	"fastq	sra"	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	not applicable	not applicable	fecal	SRX10124655	China	Asia	China: Shenyang	dog	Illumina HiSeq 2500	42.4 N 123 E	D19	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample16	SRP306992
SRR13737297	AMPLICON	371	17599502	PRJNA702770	SAMN17978424	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	9105066	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"s3	ncbi	gs"	"ncbi.public	s3.us-east-1	gs.US"	not applicable	not applicable	fecal	SRX10124690	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.4 E	W22	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample48	SRP306992
SRR13737299	AMPLICON	371	25986043	PRJNA702770	SAMN17978422	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13185064	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-20	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124688	China	Asia	China: Changchun	wolf	Illumina HiSeq 2500	44 N 125.2 E	W20	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample46	SRP306992
SRR13737303	AMPLICON	369	19961065	PRJNA702770	SAMN17978418	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	10298905	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124684	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 126 E	W16	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample42	SRP306992
SRR13737313	AMPLICON	370	27871619	PRJNA702770	SAMN17978409	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	14031462	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"sra	fastq"	"gs	ncbi	s3"	"ncbi.public	gs.US	s3.us-east-1"	not applicable	not applicable	fecal	SRX10124674	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.2 E	W7	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample33	SRP306992
SRR13737317	AMPLICON	370	25972450	PRJNA702770	SAMN17978406	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13215000	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"s3	ncbi	gs"	"s3.us-east-1	ncbi.public	gs.US"	not applicable	not applicable	fecal	SRX10124670	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 123.9 E	W3	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample30	SRP306992
SRR13737309	AMPLICON	371	26710525	PRJNA702770	SAMN17978413	"MIMARKS.survey	MIGS/MIMS/MIMARKS.host-associated"	13494774	SHENYANG AGRICULTURAL UNIVERSITY	2016-12-11	public	"fastq	sra"	"s3	gs	ncbi"	"ncbi.public	s3.us-east-1	gs.US"	not applicable	not applicable	fecal	SRX10124678	China	Asia	China: Shenyang	wolf	Illumina HiSeq 2500	41 N 124.6 E	W11	SINGLE	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-02-18T00:00:00Z	Sample37	SRP306992
