Run	new_sampleid	Assay Type	AvgSpotLen	Bases	BioProject	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Source_material_ID	SRA Study	type	comment
SRR9975041	SAMN12574882	AMPLICON	602	25327946	PRJNA559766	Metagenome or environmental	14282182	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722426	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR046-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR046-P1_S162_L001	PHMOR-0046	SRP218488	PH	non-tonsillitis
SRR9975042	SAMN12574883	AMPLICON	602	23421412	PRJNA559766	Metagenome or environmental	13652404	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722425	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR047-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR047-P1_S174_L001	PHMOR-0047	SRP218488	PH	non-tonsillitis
SRR9975037	SAMN12574884	AMPLICON	602	20892410	PRJNA559766	Metagenome or environmental	11620470	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722430	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR051-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR051-P1_S127_L001	PHMOR-0051	SRP218488	PH	non-tonsillitis
SRR9975038	SAMN12574885	AMPLICON	602	28531790	PRJNA559766	Metagenome or environmental	16364185	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722429	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR056-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR056-P1_S187_L001	PHMOR-0056	SRP218488	PH	non-tonsillitis
SRR9975063	SAMN12574886	AMPLICON	602	13785800	PRJNA559766	Metagenome or environmental	8625223	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722404	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR057-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR057-P1_S104_L001	PHMOR-0057	SRP218488	PH	non-tonsillitis
SRR9975062	SAMN12574887	AMPLICON	602	25658444	PRJNA559766	Metagenome or environmental	14242033	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722405	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR058-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR058-P1_S116_L001	PHMOR-0058	SRP218488	PH	non-tonsillitis
SRR9975065	SAMN12574888	AMPLICON	602	21733404	PRJNA559766	Metagenome or environmental	13832334	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722402	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR064-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR064-P1_S188_L001	PHMOR-0064	SRP218488	PH	non-tonsillitis
SRR9975064	SAMN12574889	AMPLICON	602	26666794	PRJNA559766	Metagenome or environmental	14879226	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722403	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR066-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR066-P1_S117_L001	PHMOR-0066	SRP218488	PH	non-tonsillitis
SRR9975067	SAMN12574890	AMPLICON	602	25934762	PRJNA559766	Metagenome or environmental	14880068	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722400	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR070-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR070-P1_S165_L001	PHMOR-0070	SRP218488	PH	non-tonsillitis
SRR9975066	SAMN12574891	AMPLICON	602	23856658	PRJNA559766	Metagenome or environmental	13517754	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722401	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR074-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR074-P1_S118_L001	PHMOR-0074	SRP218488	PH	non-tonsillitis
SRR9975069	SAMN12574892	AMPLICON	602	19453028	PRJNA559766	Metagenome or environmental	11676677	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722398	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR076-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR076-P1_S142_L001	PHMOR-0076	SRP218488	PH	non-tonsillitis
SRR9975068	SAMN12574893	AMPLICON	602	28705768	PRJNA559766	Metagenome or environmental	16167735	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722399	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR080-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR080-P1_S190_L001	PHMOR-0080	SRP218488	PH	non-tonsillitis
SRR9975061	SAMN12574894	AMPLICON	602	29488970	PRJNA559766	Metagenome or environmental	16595737	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722406	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR081-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR081-P1_S107_L001	PHMOR-0081	SRP218488	PH	non-tonsillitis
SRR9975060	SAMN12574895	AMPLICON	602	24741598	PRJNA559766	Metagenome or environmental	14355945	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722407	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR083-P1	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR083-P1_S131_L001	PHMOR-0083	SRP218488	PH	non-tonsillitis
SRR9975098	SAMN12574896	AMPLICON	602	19627006	PRJNA559766	Metagenome or environmental	11186984	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722369	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR092-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR092-P2_S253_L001	PHMOR-0092	SRP218488	PH	non-tonsillitis
SRR9975099	SAMN12574897	AMPLICON	602	19700450	PRJNA559766	Metagenome or environmental	11279737	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722368	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR094-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR094-P2_S277_L001	PHMOR-0094	SRP218488	PH	non-tonsillitis
SRR9975096	SAMN12574898	AMPLICON	602	24892098	PRJNA559766	Metagenome or environmental	14305494	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722371	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR104-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR104-P2_S207_L001	PHMOR-0104	SRP218488	PH	non-tonsillitis
SRR9975097	SAMN12574899	AMPLICON	602	21854406	PRJNA559766	Metagenome or environmental	13994450	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722370	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR107-P4	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR107-P4_S13_L001	PHMOR-0107	SRP218488	PH	non-tonsillitis
SRR9975102	SAMN12574900	AMPLICON	602	25745734	PRJNA559766	Metagenome or environmental	14455023	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722365	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR110-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR110-P2_S279_L001	PHMOR-0110	SRP218488	PH	non-tonsillitis
SRR9975103	SAMN12574901	AMPLICON	602	23381078	PRJNA559766	Metagenome or environmental	13060223	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722364	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR112-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR112-P2_S208_L001	PHMOR-0112	SRP218488	PH	non-tonsillitis
SRR9975100	SAMN12574902	AMPLICON	602	22613528	PRJNA559766	Metagenome or environmental	12756402	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722367	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR113-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR113-P2_S220_L001	PHMOR-0113	SRP218488	PH	non-tonsillitis
SRR9975101	SAMN12574903	AMPLICON	602	24557988	PRJNA559766	Metagenome or environmental	13963264	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722366	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR115-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR115-P2_S244_L001	PHMOR-0115	SRP218488	PH	non-tonsillitis
SRR9975201	SAMN12574904	AMPLICON	602	20855688	PRJNA559766	Metagenome or environmental	12101244	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722266	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR116-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR116-P2_S268_L001	PHMOR-0116	SRP218488	PH	non-tonsillitis
SRR9975094	SAMN12574905	AMPLICON	602	20848464	PRJNA559766	Metagenome or environmental	11810768	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722373	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR117-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR117-P2_S280_L001	PHMOR-0117	SRP218488	PH	non-tonsillitis
SRR9975079	SAMN12574906	AMPLICON	602	22795934	PRJNA559766	Metagenome or environmental	12648006	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722388	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR118-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR118-P2_S197_L001	PHMOR-0118	SRP218488	PH	non-tonsillitis
SRR9975078	SAMN12574907	AMPLICON	602	20338570	PRJNA559766	Metagenome or environmental	11438031	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722389	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR119-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR119-P2_S209_L001	PHMOR-0119	SRP218488	PH	non-tonsillitis
SRR9975077	SAMN12574908	AMPLICON	602	20553484	PRJNA559766	Metagenome or environmental	11495724	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722390	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR122-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR122-P2_S245_L001	PHMOR-0122	SRP218488	PH	non-tonsillitis
SRR9975076	SAMN12574909	AMPLICON	602	19112296	PRJNA559766	Metagenome or environmental	11029958	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722391	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR124-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR124-P2_S269_L001	PHMOR-0124	SRP218488	PH	non-tonsillitis
SRR9975075	SAMN12574910	AMPLICON	602	21117558	PRJNA559766	Metagenome or environmental	12479427	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722392	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR129-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR129-P2_S234_L001	PHMOR-0129	SRP218488	PH	non-tonsillitis
SRR9975074	SAMN12574911	AMPLICON	602	24785544	PRJNA559766	Metagenome or environmental	14288896	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722393	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR132-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR132-P2_S270_L001	PHMOR-0132	SRP218488	PH	non-tonsillitis
SRR9975073	SAMN12574912	AMPLICON	602	31356374	PRJNA559766	Metagenome or environmental	17425827	CHINESE UNIVERSITY OF HONG KONG	missing	public	"fastq	sra"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX6722394	Hong Kong	Asia	Hong Kong: Tsuen Wan	Illumina MiSeq	oral rinse	22.37 N 114.12 E	PHMOR138-P2	PAIRED	PCR	METAGENOMIC	human oral metagenome	ILLUMINA	2019-11-04T00:00:00Z	PHMOR138-P2_S247_L001	PHMOR-0138	SRP218488	PH	non-tonsillitis
