Run	new_sampleid	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	datenum	collectiontime	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	included_in_final_analysis	Instrument	Isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	ScalingFactor	Seq_run	SRA Study	storage	time	timenum	feature.id2	IndividID2	Storage2	Seq_run2	Seq_depth_nospikein	HoursTilFrozen	scaling_factor	SampleDate	SampleTime	SampleTimeCat	HoursAfterSunrise	Month	Year	Season	AgeAtSamplingYears	AgeCat	Sex	GroupAtSampling	Condition_weight	SocialStatus	HoursSinceForagingStart	Temp_max	Temp_min	HourlyTemp	sum_rainfall_month	Bacterial_load	Observed	Shannon	MDS1_WU	MDS2_WU	MDS3_WU	MDS4_WU	MDS1_UU	MDS2_UU	MDS3_UU	MDS4_UU
SRR15931428	Sample1006	AMPLICON	501	14852029	PRJNA764180	SAMN21481700	Metagenome or environmental	8749542	ULM UNIVERSITY	5/2/17	42857	1899-12-30 09:41:00	public	"fastq	sra"	"s3	gs	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX12221533	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800090 E	Feature1034	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1034	5.658413749	RUN2	SRP337608	FREEZEDRIED	9:41:00	0.4	Feature1034	ID 232	FREEZEDRIED	RUN2	20706	3.23705192	5.658413749	5/2/17	1899-12-30 09:41:00	MORNING	2.6225	5	2017	DRY WINTER	0.164	YOUNG	F	Group 35	26.48588332	Subordinate	0.770577635	29.3	10.8	22	45	117161	141	3.306489145	-0.165967727	-0.06354019	0.08913247	-0.057033938	0.060566086	0.007235921	0.011785784	0.101337176
SRR15931427	Sample1007	AMPLICON	501	23195709	PRJNA764180	SAMN21481701	Metagenome or environmental	13928774	ULM UNIVERSITY	6/2/17	42888	1899-12-30 16:51:00	public	"sra	fastq"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX12221534	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800091 E	Feature1035	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1035	3.758803419	RUN2	SRP337608	FREEZEDRIED	16:51:00	0.7	Feature1035	ID 210	FREEZEDRIED	RUN2	31513	2.11617094	3.758803419	6/2/17	1899-12-30 16:51:00	AFTERNOON	9.508888889	6	2017	DRY WINTER	1.142	MIDDLEAGED	M	Group 3	24.80674016	Subordinate	0.391883095	26.6	3.2	23.5	0.4	118454	273	4.519177398	0.105295565	-0.191699545	0.040947307	-0.091545699	0.186992038	0.183288199	0.157456491	0.064206887
SRR15931426	Sample1008	AMPLICON	501	15332657	PRJNA764180	SAMN21481702	Metagenome or environmental	9110620	ULM UNIVERSITY	6/9/17	42895	1899-12-30 10:26:00	public	"sra	fastq"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX12221535	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800092 E	Feature1036	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1036	12.73143093	RUN2	SRP337608	FREEZEDRIED	10:26:00	0.43	Feature1036	ID 225	FREEZEDRIED	RUN2	21072	2.924043944	12.73143093	6/9/17	1899-12-30 10:26:00	MORNING	3.041111111	6	2017	DRY WINTER	0.553	YOUNG	F	Group 3	43.75617366	Subordinate	1.096799337	15.4	-2	9.3	0.4	268278	152	3.569182846	-0.105004648	-0.116472573	0.01244786	-0.113998338	0.310840218	0.014098087	0.0043537	0.079940819
SRR15931425	Sample1009	AMPLICON	501	13207620	PRJNA764180	SAMN21481703	Metagenome or environmental	7689466	ULM UNIVERSITY	6/9/17	42895	1899-12-30 10:28:00	public	"sra	fastq"	"gs	s3	ncbi"	"ncbi.public	gs.US	s3.us-east-1"	SRX12221536	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800093 E	Feature1037	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1037	21.33374913	RUN2	SRP337608	FREEZEDRIED	10:28:00	0.44	Feature1037	ID 224	FREEZEDRIED	RUN2	18694	2.89071061	21.33374913	6/9/17	1899-12-30 10:28:00	MORNING	3.074444444	6	2017	DRY WINTER	0.553	YOUNG	M	Group 3	60.46644708	Subordinate	1.13013267	15.4	-2	9.3	0.4	398817	123	2.673826284	-0.245166087	0.001596962	0.074570098	-0.05930895	0.279349184	0.028584296	0.033903778	0.122739617
SRR15930171	Sample101	AMPLICON	501	9807830	PRJNA764180	SAMN21470052	Metagenome or environmental	5897112	ULM UNIVERSITY	10/23/04	38283	1899-12-30 08:18:00	public	"sra	fastq"	"ncbi	gs	s3"	"ncbi.public	s3.us-east-1	gs.US"	SRX12220550	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.799256 E	Feature107	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature107	9.567863248	RUN1	SRP337608	FROZEN	8:18:00	0.35	Feature107	ID 7	FROZEN	RUN1	12637	3.11523845	9.567863248	10/23/04	1899-12-30 08:18:00	MORNING	2.362777778	10	2004	WET SUMMER	4.633	MIDDLEAGED	M	Group 36	7.810276091	Subordinate	0.761334848	30.5	14.7	20	32	120910	61	2.116230749	-0.177467273	0.118804746	0.042062901	0.02424219	-0.084979729	-0.250021025	-0.029792848	-0.050463143
SRR15931424	Sample1010	AMPLICON	501	18622387	PRJNA764180	SAMN21481704	Metagenome or environmental	11079767	ULM UNIVERSITY	6/22/17	42908	1899-12-30 09:57:00	public	"fastq	sra"	"s3	gs	ncbi"	"ncbi.public	gs.US	s3.us-east-1"	SRX12221537	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800094 E	Feature1038	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1038	10.25128205	RUN2	SRP337608	FREEZEDRIED	9:57:00	0.41	Feature1038	ID 167	FREEZEDRIED	RUN2	26316	3.407377277	10.25128205	6/22/17	1899-12-30 09:57:00	MORNING	2.491388889	6	2017	DRY WINTER	3.197	MIDDLEAGED	M	Group 24	-7.234684832	Subordinate	0.613466003	25.2	-3.1	13.8	0	269779	160	3.054380142	-0.205301103	-0.07258456	0.07606597	-0.076103976	0.319756741	0.029004953	0.0385572	0.110089629
SRR15931423	Sample1011	AMPLICON	501	15529255	PRJNA764180	SAMN21481705	Metagenome or environmental	9305845	ULM UNIVERSITY	6/23/17	42909	1899-12-30 10:59:00	public	"sra	fastq"	"gs	ncbi	s3"	"s3.us-east-1	gs.US	ncbi.public"	SRX12221538	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800095 E	Feature1039	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1039	36.71389386	RUN2	SRP337608	FREEZEDRIED	10:59:00	0.46	Feature1039	ID 226	FREEZEDRIED	RUN2	23128	2.374043944	36.71389386	6/23/17	1899-12-30 10:59:00	MORNING	3.521388889	6	2017	DRY WINTER	0.592	YOUNG	F	Group 3	59.59843558	Subordinate	1.646799337	25.1	1.6	19.8	0	849114	182	3.505029444	-0.171829261	-0.097205975	0.111259736	-0.100819555	0.303331448	0.065775508	0.035993676	0.133665277
SRR15931422	Sample1012	AMPLICON	501	10563766	PRJNA764180	SAMN21481706	Metagenome or environmental	6241912	ULM UNIVERSITY	6/28/17	42914	1899-12-30 09:41:00	public	"fastq	sra"	"ncbi	s3	gs"	"s3.us-east-1	ncbi.public	gs.US"	SRX12221539	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800096 E	Feature1040	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1040	43.85270655	RUN2	SRP337608	FREEZEDRIED	9:41:00	0.4	Feature1040	ID 228	FREEZEDRIED	RUN2	16155	3.674043944	43.85270655	6/28/17	1899-12-30 09:41:00	MORNING	2.209722222	6	2017	DRY WINTER	0.603	YOUNG	M	Group 3	69.93188034	Subordinate	0.346799337	27.5	11.9	18.8	0	708429	143	2.923123421	-0.208947351	-0.04329918	0.100792709	-0.069821135	0.271834902	0.014937878	0.012353047	0.086058214
SRR15931420	Sample1013	AMPLICON	501	25862798	PRJNA764180	SAMN21481707	Metagenome or environmental	15331105	ULM UNIVERSITY	6/29/17	42915	1899-12-30 10:35:00	public	"fastq	sra"	"ncbi	s3	gs"	"gs.US	ncbi.public	s3.us-east-1"	SRX12221541	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800097 E	Feature1041	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1041	15.47742584	RUN2	SRP337608	FREEZEDRIED	10:35:00	0.44	Feature1041	ID 222	FREEZEDRIED	RUN2	35693	2.774043944	15.47742584	6/29/17	1899-12-30 10:35:00	MORNING	3.108333333	6	2017	DRY WINTER	0.814	YOUNG	M	Group 3	43.03094655	Subordinate	1.246799337	18.2	4.3	14.6	0	552433	252	4.577419397	0.008415562	-0.188639021	0.025279937	-0.121515709	0.286518071	0.111187004	0.063925451	0.098182381
SRR15931419	Sample1014	AMPLICON	501	24886649	PRJNA764180	SAMN21481708	Metagenome or environmental	15162275	ULM UNIVERSITY	6/29/17	42915	1899-12-30 10:55:00	public	"sra	fastq"	"gs	s3	ncbi"	"s3.us-east-1	gs.US	ncbi.public"	SRX12221542	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800098 E	Feature1042	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1042	31.57394872	RUN2	SRP337608	FREEZEDRIED	10:55:00	0.45	Feature1042	ID 209	FREEZEDRIED	RUN2	34469	2.44071061	31.57394872	6/29/17	1899-12-30 10:55:00	MORNING	3.441666667	6	2017	DRY WINTER	1.216	MIDDLEAGED	M	Group 3	13.19495998	Subordinate	1.58013267	18.2	4.3	14.6	0	1088321	256	4.399173419	0.05172348	-0.239861533	0.081531966	-0.129461472	0.283380531	0.106012684	0.073088188	0.087306548
SRR15931418	Sample1015	AMPLICON	501	14440107	PRJNA764180	SAMN21481709	Metagenome or environmental	8273506	ULM UNIVERSITY	7/2/17	42918	1899-12-30 10:52:00	public	"sra	fastq"	"s3	ncbi	gs"	"s3.us-east-1	gs.US	ncbi.public"	SRX12221543	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800099 E	Feature1043	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1043	10.31828389	RUN2	SRP337608	FREEZEDRIED	10:52:00	0.45	Feature1043	ID 229	FREEZEDRIED	RUN2	19195	2.533063707	10.31828389	7/2/17	1899-12-30 10:52:00	MORNING	3.389444444	7	2017	DRY WINTER	0.614	YOUNG	F	Group 3	45.17246505	Subordinate	1.501917831	27.6	4.8	20.8	0.2	198062	115	2.492463192	-0.233824942	0.044999576	0.003208592	-0.035267179	0.219567188	-0.01036691	0.065835052	0.08153484
SRR15931417	Sample1016	AMPLICON	501	10193355	PRJNA764180	SAMN21481710	Metagenome or environmental	5997991	ULM UNIVERSITY	7/5/17	42921	1899-12-30 09:40:00	public	"sra	fastq"	"gs	ncbi	s3"	"gs.US	ncbi.public	s3.us-east-1"	SRX12221544	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800100 E	Feature1044	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1044	20.5025641	RUN2	SRP337608	FREEZEDRIED	9:40:00	0.4	Feature1044	ID 210	FREEZEDRIED	RUN2	13818	3.733063707	20.5025641	7/5/17	1899-12-30 09:40:00	MORNING	2.19	7	2017	DRY WINTER	1.233	MIDDLEAGED	M	Group 3	4.892153951	Subordinate	0.301917831	26	-1.4	16	0.2	283323	162	4.017761836	-0.07985769	-0.078795191	0.065597714	-0.000363392	0.118145604	0.072623073	0.096786102	0.025257411
SRR15931416	Sample1017	AMPLICON	501	17422725	PRJNA764180	SAMN21481711	Metagenome or environmental	10227678	ULM UNIVERSITY	7/13/17	42929	1899-12-30 12:03:00	public	"sra	fastq"	"s3	gs	ncbi"	"gs.US	ncbi.public	s3.us-east-1"	SRX12221545	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800101 E	Feature1045	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1045	15.32715957	RUN2	SRP337608	FREEZEDRIED	12:03:00	0.5	Feature1045	ID 213	FREEZEDRIED	RUN2	22903	1.349730374	15.32715957	7/13/17	1899-12-30 12:03:00	MORNING	4.59	7	2017	DRY WINTER	1.225	MIDDLEAGED	M	Group 35	-14.62998771	Subordinate	2.685251164	30.9	8.1	26.8	0.2	351041	146	3.415677983	-0.200406968	-0.079732464	0.069967931	-0.091721445	0.249165031	-0.030491991	0.04912168	0.118642507
SRR15931411	Sample1018	AMPLICON	501	26201218	PRJNA764180	SAMN21481712	Metagenome or environmental	15981984	ULM UNIVERSITY	7/15/17	42931	1899-12-30 09:24:00	public	"fastq	sra"	"s3	ncbi	gs"	"s3.us-east-1	gs.US	ncbi.public"	SRX12221550	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800102 E	Feature1046	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1046	14.22249942	RUN2	SRP337608	FREEZEDRIED	9:24:00	0.39	Feature1046	ID 235	FREEZEDRIED	RUN2	27226	3.999730374	14.22249942	7/15/17	1899-12-30 09:24:00	MORNING	1.947777778	7	2017	DRY WINTER	0.159	YOUNG	M	Group 35	-37.13025348	Subordinate	0.035251164	30.2	10.1	16	0.2	387221	114	3.697189123	-0.061006164	-0.200260781	0.065434066	-0.11830945	0.129121216	-0.104755892	0.032313062	0.078724148
SRR15931410	Sample1019	AMPLICON	501	15370335	PRJNA764180	SAMN21481713	Metagenome or environmental	9186100	ULM UNIVERSITY	7/16/17	42932	1899-12-30 17:16:00	public	"fastq	sra"	"gs	ncbi	s3"	"ncbi.public	gs.US	s3.us-east-1"	SRX12221551	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.800103 E	Feature1047	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature1047	1.74828066	RUN2	SRP337608	FREEZEDRIED	17:16:00	0.72	Feature1047	ID 226	FREEZEDRIED	RUN2	19306	1.846470313	1.74828066	7/16/17	1899-12-30 17:16:00	AFTERNOON	9.818888889	7	2017	DRY WINTER	0.655	YOUNG	F	Group 3	36.09591932	Subordinate	0.763497416	21.1	5.8	19	0.2	33735	324	4.051204226	0.131337058	0.029212167	-0.049162317	-0.056797706	0.036080723	0.189806573	0.205633321	-0.043776508
SRR15930170	Sample102	AMPLICON	501	9404456	PRJNA764180	SAMN21470053	Metagenome or environmental	5552778	ULM UNIVERSITY	10/24/04	38284	1899-12-30 08:54:00	public	"fastq	sra"	"ncbi	gs	s3"	"ncbi.public	gs.US	s3.us-east-1"	SRX12220551	South Africa	Africa	South Africa: Kalahari Research Station	Suricata suricatta	TRUE	Illumina MiSeq	FAECAL PELLET	27.001387 S 21.799257 E	Feature108	PAIRED	PCR	METAGENOMIC	metagenome	ILLUMINA	2021-09-17T00:00:00Z	Feature108	6.289631219	RUN1	SRP337608	FROZEN	8:54:00	0.37	Feature108	ID 35	FROZEN	RUN1	11329	2.51523845	6.289631219	10/24/04	1899-12-30 08:54:00	MORNING	2.9775	10	2004	WET SUMMER	5.764	OLD	M	Group 40	169.8741974	Subordinate	1.361334848	33.3	14.4	25.6	31.4	71257	46	2.060288475	-0.186510975	0.088772569	-0.085736024	-0.008630928	-0.150543144	-0.264099457	0.012887371	0.083774031
